Open,Minimum,Maximum,Close,Date,Position
"1,184,710","1,179,940","1,189,470",1187010,7/24/2015,Low
"1,189,470","1,186,090","1,192,850",1192540,7/31/2015,High
"1,195,000","1,191,620","1,198,380",1196230,8/7/2015,High
"1,197,770","1,187,010","1,208,530",1206690,7/10/2015,Low
"1,214,990","1,209,760","1,220,210",1210370,8/14/2015,High
"1,221,450","1,216,220","1,226,670",1216830,7/3/2015,Low
"1,225,400","1,221,400","1,229,400",1226400,11/20/2015,Low
"1,227,590","1,225,440","1,229,740",1225440,11/22/2015,Low
"1,231,435","1,227,590","1,232,510",1230360,11/21/2015,High
"1,231,590","1,227,280","1,233,740",1229440,11/17/2015,Low
"1,231,600","1,226,100","1,237,100",1232800,11/27/2015,Low
"1,233,130","1,233,130","1,233,130",1233130,11/23/2015,High
"1,233,130","1,229,130","1,237,120",1234970,6/26/2015,Low
"1,233,585","1,230,670","1,233,740",1233430,11/18/2015,High
"1,235,130","1,231,280","1,238,970",1237430,11/7/2014,Low
"1,235,900","1,232,820","1,238,970",1238970,6/19/2015,Low
"1,236,355","1,234,360","1,237,740",1234970,11/24/2015,High
"1,237,275","1,234,360","1,237,430",1237120,11/29/2015,Low
"1,237,450","1,235,000","1,239,900",1239000,11/6/2015,Low
"1,238,040","1,235,890","1,238,040",1238040,11/25/2015,High
"1,238,045","1,236,200","1,239,580",1236510,12/2/2015,Low
"1,238,660","1,237,740","1,238,660",1238660,11/28/2015,High
"1,241,120","1,238,350","1,243,890",1242960,9/11/2015,Low
"1,241,735","1,239,890","1,242,040",1241430,11/7/2015,High
"1,242,345","1,238,350","1,245,420",1239270,12/14/2015,Low
"1,242,345","1,241,730","1,242,960",1241730,11/11/2015,Low
"1,243,580","1,243,580","1,243,580",1243580,11/12/2015,High
"1,244,350","1,242,040","1,246,650",1242040,10/31/2014,Low
"1,244,500","1,241,730","1,246,040",1242960,11/10/2015,Low
"1,245,270","1,241,120","1,249,420",1242040,8/28/2015,Low
"1,245,880","1,240,500","1,251,260",1240500,6/12/2015,Low
"1,246,040","1,242,040","1,246,040",1246040,11/8/2015,High
"1,246,200","1,244,500","1,247,900",1246300,12/18/2015,Low
"1,246,495","1,242,960","1,248,800",1244190,11/9/2015,Low
"1,246,650","1,241,120","1,246,650",1246650,11/30/2015,High
"1,246,660","1,238,970","1,254,340",1238970,3/13/2015,Low
"1,246,800","1,243,600","1,250,000",1248500,11/13/2015,High
"1,247,420","1,245,420","1,248,800",1246040,11/14/2015,Low
"1,247,430","1,245,120","1,249,730",1248190,11/14/2014,High
"1,248,190","1,241,730","1,248,800",1247580,12/15/2015,High
"1,248,190","1,246,650","1,249,730",1248190,11/21/2014,No Change
"1,248,200","1,239,300","1,257,100",1240500,1/15/2016,Low
